[2025-02-24 18:21:49] To: 0912345678 | Client: dasd | Date: 2025-01-10 | Time: 07:49:00 | Status: SUCCESS
[2025-02-24 18:21:50] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:21:50] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:21:51] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:21:52] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:24:49] To: 0912345678 | Client: dasd | Date: 2025-01-10 | Time: 07:49:00 | Status: SUCCESS
[2025-02-24 18:24:50] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:24:51] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:24:51] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:24:52] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:25:57] To: 0912345678 | Client: dasd | Date: 2025-01-10 | Time: 07:49:00 | Status: SUCCESS
[2025-02-24 18:25:57] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:25:58] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:25:59] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:26:00] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:30:27] To: 0912345678 | Client: dasd | Date: 2025-01-10 | Time: 07:49:00 | Status: SUCCESS
[2025-02-24 18:30:28] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:30:29] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:30:29] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
[2025-02-24 18:30:30] To: 0912345678 | Client: dasd | Date: 2025-02-15 | Time: 14:30:00 | Status: SUCCESS
